id;description;type;enum;format;minimum;exclusiveMinimum;maximum;exclusiveMaximum;minLength;maxLength;uniqueItems;minItems;multipleOf;maxItems;properties;required;discriminator;oneOf;allOf;readOnly;menuItem;expandible
01;Seccion;object;;;;;;;;;;;;;01_01,01_02,01_03;;;;;;true;false
01_01;Apartado;object;;;;;;;;;;;;;RT_RDMatriz,RT_REMatriz,020Vector,065Vector,0066Vector;;;;;;true;false
RT_RDMatriz;Matriz;array;;;;;;;;;true;0;;4;RT_RDVector;;;;;;false;false
RT_RDVector;Vector;object;;;;;;;;;;;;;buscaEmpresaRD,C000101,C000102,C000103,C000601;;;;;;false;true
RT_REMatriz;Matriz;array;;;;;;;;;true;0;;2;RT_REVector;;;;;;false;false
RT_REVector;Vector;object;;;;;;;;;;;;;buscaEmpresaRE,C001101,C001102,C001103,C001401;;;;;;false;true
020Vector;Vector;object;;;;;;;;;;;;;R000171,R000271,R000371;;;;;;false;true
065Vector;Vector;object;;;;;;;;;;;;;R004751,RT_APORMatriz;;;;;;false;true
0066Vector;Vector;object;;;;;;;;;;;;;C006601;;;;;;false;true
01_02;Apartado;object;;;;;;;;;;;;;0163Vector;;;;;;true;true
01_03;Apartado;object;;;;;;;;;;;;;0017Vector,1018Vector;;;;;;true;false
0163Vector;Vector;object;;;;;;;;;;;;;C016304,C016301;;;;;;false;false
0017Vector;Vector;object;;;;;;;;;;;;;C001701;;;;;;false;true
1018Vector;Vector;object;;;;;;;;;;;;;R000191,R000291;;;;;;false;true
02A_01;Apartado;object;;;;;;;;;;;;;0042Vector,0051Vector,1037Vector,1041Vector;;;;;;true;false
02B_01;Apartado;object;;;;;;;;;;;;;0031Vector,1031Vector,0037Vector,0040Vector,0041Vector,1042Vector,0045Vector,0039Vector,5921Vector;;;;;;true;false
03_01;Apartado;object;;;;;;;;;;;;;03_01i,03_01g;;;;;;false;false
03_01i;Apartado;object;;;;;;;;;;;;;C107101;;;;;;false;false
03_01g;Apartado;object;;;;;;;;;;;;;C107501,C107502,C107601,C107701,C108001,C108002,C107801,C108501,C108502,C797001;;;;;;false;false
03_02;Apartado;object;;;;;;;;;;;;;03_02Vector,03_02Vectorg,RCI_RETMatriz;;;;;;false;false
03_03;Apartado;object;;;;;;;;;;;;;C007201;;;;;;false;false
04Apartado;Apartado;object;;;;;;;;;;;;;RAPMatriz,04ApartadoVector;;;;;;false;false
05Apartado;Apartado;object;;;;;;;;;;;;;RAEAFMatriz;;;;;;false;false
06Apartado;Apartado;object;;;;;;;;;;;;;EOMatriz;;;;;;false;false
07Apartado;Apartado;object;;;;;;;;;;;;;EOAAGFMatriz;;;;;;false;false
08_02;Apartado;object;;;;;;;;;;;;;08_02_P,08_02_D,590Vector,PPMatriz,11;;;;;;true;false
08_02_D;Apartado;object;;;;;;;;;;;;;081Vector,BSPSPP_AMMatriz;;;;;;true;true
08_02_P;Apartado;object;;;;;;;;;;;;;BSPSPP_EAVector,BSPSPP_APMatriz;;;;;;true;true
08_03;Apartado;object;;;;;;;;;;;;;08_03Vector;;;;;;true;true
11_A4L;Apartado;object;;;;;;;;;;;;;GFPAMMatriz;;;;;;false;false
11_11;Apartado;object;;;;;;;;;;;;;C054501,C076301,C054701,C058801;;;;;;false;false
11_A5R;Apartado;object;;;;;;;;;;;;;11_A5RVector,BSPDMatriz;;;;;;false;false
12Apartado;Apartado;object;;;;;;;;;;;;;C054191;;;;;;false;false
13_AV;Apartado;object;;;;;;;;;;;;;DE_ARRMatriz;;;;;;true;true
13_RT;Apartado;object;;;;;;;;;;;;;C056001;;;;;;true;true
13_AEP;Apartado;object;;;;;;;;;;;;;C156001,C156101;;;;;;true;true
13_D;Apartado;object;;;;;;;;;;;;;DE_DOMatriz;;;;;;true;true
13_BM;Apartado;object;;;;;;;;;;;;;Q000171,Q000271,Q000371;;;;;;true;true
13_SPP;Apartado;object;;;;;;;;;;;;;Q000161,Q000261;;;;;;true;true
13_DII;Apartado;object;;;;;;;;;;;;;13_DIIMatriz;;;;;;true;true
13_DIIMatriz;Matriz;array;;;;;;;;;true;0;;3;13_DIIVector;;;;;;false;false
13_DIIVector;Vector;object;;;;;;;;;;;;;W001081,W002081,W003081;;;;;;false;false
13_SVI;Apartado;object;;;;;;;;;;;;;W000191,W000391;;;;;;true;true
13_CM;Apartado;object;;;;;;;;;;;;;C057411;;;;;;true;true
13_PBI;Apartado;object;;;;;;;;;;;;;C057701;;;;;;true;true
13_PF;Apartado;object;;;;;;;;;;;;;C058001;;;;;;true;true
13_PV;Apartado;object;;;;;;;;;;;;;C059101;;;;;;true;true
13_APS;Apartado;object;;;;;;;;;;;;;C059301;;;;;;true;true
13_IAE;Apartado;object;;;;;;;;;;;;;D000191,D000291,D000391;;;;;;true;true
13_CE;Apartado;object;;;;;;;;;;;;;C029001,C029101,C029201,C029301,C029401,C064701,C064801,C064901,C078001,C078101,C838501,C838601,V000101,V001001,V001101,V002001,V002101,V003001,V003101,V567001,V567301,W001001,W001101,W001201,W001301,W001401,W001501,W001601,W001701,W001801,W001901,W002001,W002101,W002201,W002301,W002401,W002501,W002601,W002701,W002801,W002901,W003001,W003101,W003201,W003301,W003401,W003501,W003601,W003701,W003801,W003901,W004001,W004101,W004201,W004301,W004401,W004501,W004601,W004701,W004801,W004901,W005001,W005101,W005201,W005301,W005401,W005501,W005601,W005701,W005801,W005901,W006001,W006101,W006201,W006301,W006401,W006501,W006601,W006701,W006801,W006901,W011001,W011101,W021001,W021101,W031001,W031101,W041001,W041101,W051001,W051101,W061001,W061101,X299004,V001211,V002211,V003211,X299001,X299501,V001011,V002011,V003011,V001111,V002111,V003111;;;;;;true;true
13_FE;Apartado;object;;;;;;;;;;;;;C028001,C028101,C028201,C028301,C028401,C062701,C062801,C062901,C083701,C837101,C837001,C083801,N000101,N000111,N000121,N000131,N000141,N000151,N000171,N000181,N000191,S000141,Q000191,Q000141,X000131,X000231,X000331,X001101,X001201,X001401,X001501,X001601,X001701,X001801,X001901,X011001,X567001,X567301,C298701;;;;;;true;true
A1A_BA;Apartado;object;;;;;;;;;;;;;A1A_BAMatriz;;;;;;true;true
A1A_IO;Apartado;object;;;;;;;;;;;;;A1A_IOMatriz;;;;;;true;true
A1BApartado;Apartado;object;;;;;;;;;;;;;C070701,C070801;;;;;;false;false
A1CApartado;Apartado;object;;;;;;;;;;;;;FIMatriz;;;;;;false;false
A1DApartado;Apartado;object;;;;;;;;;;;;;C076901,C077801;;;;;;false;false
A1EApartado;Apartado;object;;;;;;;;;;;;;C077001,C077101,C077201;C077001;;;;;false;false
A1FApartado;Apartado;object;;;;;;;;;;;;;PYOMatriz;;;;;;false;false
A2GApartado;Apartado;object;;;;;;;;;;;;;D000161,D000261,D000361,D000461,E000171,E000271,E000371,E000471;;;;;;false;false
A2H13Apartado;Apartado;object;;;;;;;;;;;;;E000181,E000281,E000381,E000481,D000151,D000251,D000351,D000451;;;;;;true;true
A2H24Apartado;Apartado;object;;;;;;;;;;;;;D000171,D000271,D000371,E000101,E000201,E000301,E000401,D000181,D000281,D000381,D000481;;;;;;true;true
A4QApartado;Apartado;object;;;;;;;;;;;;;C063501,C063901,C064001,C064101,C093601,C093701,C093801,C093901,C094001,C094101,C094201,C094301,C094401,C094501,C638601,C638701,C639001,C639101,C639201,C639301,E959001,E959101,E959201,E959301,E959401,E959501,E959601,E959701,E959801,E959901,E960001,E960101,E960201,E960301,E960401,E960501,E960601,E960701,E960801,E960901,C095701;;;;;;false;false
A5TApartado;Apartado;object;;;;;;;;;;;;;IRMatriz;;;;;;false;false
A5UApartado;Apartado;object;;;;;;;;;;;;;PFMatriz;;;;;;false;false
A5VApartado;Apartado;object;;;;;;;;;;;;;PensMatriz,S082531,C082101;;;;;;false;false
PensMatriz;Matriz;array;;;;;;;;;true;0;;4;PensVector;;;;;;false;false
PensVector;Vector;object;;;;;;;;;;;;;S001131,S002131,S003131,S004131,S005131,S006131;;;;;;false;false
A6RRApartado;Apartado;object;;;;;;;;;;;;;B026801,B046801,X000111,X000211,C016901,C047001;;;;;;false;false
hechosEconomicos;DefinicionImpuesto;object;;;;;;;;;;;;;01,02B,02A,03,04,05,06,07,08,08_03,09,12,13,13_CE,13_FE,13B,A1A,A1B,A1C,A1D,A1E,A1F,A2G,A2H13Apartado,A2H24Apartado,A3I,A3J,A4Q,A5T,A5U,A5V,A5X,A6RR,datosIncorporados;;;;;;true;false
A1A_BAMatriz;Matriz;array;;;;;;;;;true;0;;99;A1A_BAVector;;;;;;false;false
A1A_IOMatriz;Matriz;array;;;;;;;;;true;0;;99;A1A_IOVector;;;;;;false;false
BSPDMatriz;Matriz;array;;;;;;;;;true;0;;2;BSPDVector;;;;;;false;false
BSPSPP_AMMatriz;Matriz;array;;;;;;;;;true;0;;4;BSPSPP_AMVector;;;;;;false;false
