id|language|text
01|ES|Rendimientos de trabajo
01|EU|Norberaren lanaren kontraprestazioak,  enpresa- edo lanbide-etekinak ez direnak
01_01|ES|Ingresos.
01_01|EU|Sarrerak
RT_APOR|ES|Aportaciones a patrimonio protegido titularidad del sujeto pasivo
RT_APOR|EU|Ekarpenak, subjektu pasiboaren titulartasunekoa den ondare babestuari
RT_RD|ES|Rendimientos de trabajo. Retribuciones dinerarias
RT_RD|EU|Lanaren etekinak. Dirutan ordaindutako lansariak
RT_RE|ES|Rendimientos de trabajo. Retribuciones en especie
RT_RE|EU|Lanaren etekinak. Gauzatan ordaindua
01_02|ES|Ingresos de trabajo irregulares, prestaciones Seguridad Social o planes de pensiones, discapacidad y seguros
01_02|EU| Diru-sarrerak, lan irregularren, Gizarte Segurantzaren prestazioen edo pentsio-planen, minusbaliotasunen eta aseguruen bidezkoak. 
01_03|ES|Gastos deducibles.
01_03|EU|Gastu kengarriak.
02A|ES|Rendimientos capital mobiliario - Parte general. Subarriendo de inmuebles, cesión de derechos de imagen, cesión de capitales propios...
02A|EU|Kapital higigarriaren etekinak - Zati orokorra. Higiezinen azpierrentamendua, irudi-eskubideen lagapena, kapital propioen lagapena...
02A_01|ES|Parte general. Ingresos.
02A_01|EU|Atal orokorra. Sarrerak
02A_02|ES|Gastos  asistencia técnica, arrendamiento de capital, negocios o minas o de subarrendamientos
02A_02|EU|Gastuak, laguntza teknikokoak, edo kapitala, negozioak edo meatzeak errentan edo azpierrentan ematetik datozenak
02A_03|ES|Reducciones
02A_03|EU|Murrizketak
02B|ES|Rendimientos capital mobiliario - Parte especial ahorro. Dividendos, intereses cuentas bancarias, seguros, letras del tesoro...
02B|EU|Kapital higigarriaren etekinak - Aurrezkiaren zati berezia. Dibidenduak, banku kontuen interesak, aseguruak, altxorraren letrak...
02B_01|ES|Parte especial ahorro. Ingresos.
02B_01|EU|Atal berezia aurrezkia. Sarrerak.
02B_02|ES|Gastos administración capital mobiliario
02B_02|EU|Gastuak, higigarrien kapitalaren administraziokoak
02B_03|ES|Parte especial ahorro. Reducciones.
02B_03|EU|Atal berezia aurrezkia. Murriztapenak.
C116401|ES|Reducciones (Art. 32.2 del TRIRPF)
C116401|EU|Murriztapenak (PFEZren testu bategineko 32.2 art)
03|ES|Rendimientos capital inmobiliario. Contraprestaciones, que provengan de elementos patrimoniales, bienes o derechos  inmobiliarios
03|EU|Higigarrien kapitalaren etekinak. Kontraprestazioak, higiezina diren ondare-elementu, ondasun edo eskubideetatik datozenak
03_01|ES|Vivienda arrendada a otros
03_01|EU|Etxebizitza, beste batzuei errentan emana
03_02|ES|Otros inmuebles arrendados (No vivienda)
03_02|EU|Errentan hartutako beste higiezin batzuk (etxebizitza ez dena)
RCI_RETMatriz|ES|Local arrendado a otros (retenedores/retención)
RCI_RETMatriz|EU|Lokala, beste batzuei errentan emana (atxikitzaileak/atxikipena)
03_03|ES|Rendimientos de uso y disfrute
03_03|EU|Etekinak, erabiltze eta lupertzearenak
C007301|ES|Rendimientos derivados de la cesión de uso y disfrute a familiares
C007301|EU|Etekinak, erabiltzea eta lurpetzea familiakoei lagatzearen ondoriozkoak
04|ES|Rendimientos profesionales (estimación directa)
04|EU|Lanbideko etekinak (balioespen zuzena)
04Apartado|ES|Rendimientos de actividades profesionales. Incapacidad temporal.
04Apartado|EU|Lanbide jardueren etekinak. Aldi bateako ezintasuna.
RAPMatriz|ES|Rendimiento de actividades profesionales
RAPMatriz|EU|Lanbide jardueren etekinak.
C011601|ES|CI Entidad Act.
C011601|EU|Jarduera. Entitatearen IK
C011701|ES|% participación Act.
C011701|EU|Jarduerako partaidetza %
A2H13Apartado|ES|Compensaciones parte especial (transmisiones y subvenciones de vivienda)
A2H13Apartado|EU|Konpentsazioak zati berezia (eskualdaketak eta etxebizitzaren diru-laguntzak)
A2H24Apartado|ES|Compensaciones parte especial (rendimientos capital mobiliario)
A2H24Apartado|EU|Konpentsazioak zati berezia (higigarrien kapitaleko etekinak)
0051vector|ES|Cesión derechos de imagen
0051vector|EU|Irudi eskubideen lagapena
1037vector|ES|Cesión de capital
1037vector|EU|Kapitalaren lagapena
1041vector|ES|Propiedad intelectual, asistencia técnica, propiedad industrial
1041vector|EU|Jabetza intelektuala,  laguntza teknikoa,  jabetza industriala
0048vector|ES|Gastos deducibles
0048vector|EU|Gastu kengarriak
0164vector|ES|Reducciones
0164vector|EU|Murriztapenak
0031vector|ES|Dividendos
0031vector|EU|Dibidenduak
0037vector|ES|Intereses cuentas bancarias
0037vector|EU|Bankuetako kontuen interesak
0039vector|ES|Rendimiento negativos de capital
0039vector|EU|Kapitalaren etekin negatiboak
0040vector|ES|Intereses obligaciones
